Received by learning locker;;;;;;;;Send by external device;;;;;;;;;
Date;Hour;Min;Sec.Miliseconds(Formated);Seconds;Miliseconds;;;Hour:Min:sec:ms;Hours;Min;Sec;Miliseconds;;;;;Miliseconds difference
10/12/2021;13;6;39.337Z;39;337;;;14:6:39:191;14;6;39;191;;;;;146
10/12/2021;13;6;39.219Z;39;219;;;14:6:39:74;14;6;39;74;;;;;145
10/12/2021;13;6;39.101Z;39;101;;;14:6:38:954;14;6;38;954;;;;;147
10/12/2021;13;6;38.983Z;38;983;;;14:6:38:836;14;6;38;836;;;;;147
10/12/2021;13;6;38.864Z;38;864;;;14:6:38:718;14;6;38;718;;;;;146
10/12/2021;13;6;38.746Z;38;746;;;14:6:38:599;14;6;38;599;;;;;147
10/12/2021;13;6;38.627Z;38;627;;;14:6:38:481;14;6;38;481;;;;;146
10/12/2021;13;6;38.509Z;38;509;;;14:6:38:363;14;6;38;363;;;;;146
10/12/2021;13;6;38.392Z;38;392;;;14:6:38:246;14;6;38;246;;;;;146
10/12/2021;13;6;38.274Z;38;274;;;14:6:38:128;14;6;38;128;;;;;146
10/12/2021;13;6;38.156Z;38;156;;;14:6:38:11;14;6;38;11;;;;;145
10/12/2021;13;6;38.039Z;38;39;;;14:6:37:893;14;6;37;893;;;;;146
10/12/2021;13;6;37.921Z;37;921;;;14:6:37:775;14;6;37;775;;;;;146
10/12/2021;13;6;37.803Z;37;803;;;14:6:37:657;14;6;37;657;;;;;146
10/12/2021;13;6;37.685Z;37;685;;;14:6:37:539;14;6;37;539;;;;;146
10/12/2021;13;6;37.567Z;37;567;;;14:6:37:421;14;6;37;421;;;;;146
10/12/2021;13;6;37.449Z;37;449;;;14:6:37:303;14;6;37;303;;;;;146
10/12/2021;13;6;37.330Z;37;330;;;14:6:37:185;14;6;37;185;;;;;145
10/12/2021;13;6;37.213Z;37;213;;;14:6:37:66;14;6;37;66;;;;;147
10/12/2021;13;6;37.087Z;37;87;;;14:6:36:941;14;6;36;941;;;;;146
10/12/2021;13;6;36.970Z;36;970;;;14:6:36:825;14;6;36;825;;;;;145
10/12/2021;13;6;36.853Z;36;853;;;14:6:36:707;14;6;36;707;;;;;146
10/12/2021;13;6;36.732Z;36;732;;;14:6:36:585;14;6;36;585;;;;;147
10/12/2021;13;6;36.613Z;36;613;;;14:6:36:467;14;6;36;467;;;;;146
10/12/2021;13;6;36.495Z;36;495;;;14:6:36:350;14;6;36;350;;;;;145
10/12/2021;13;6;36.378Z;36;378;;;14:6:36:232;14;6;36;232;;;;;146
10/12/2021;13;6;36.260Z;36;260;;;14:6:36:114;14;6;36;114;;;;;146
10/12/2021;13;6;36.141Z;36;141;;;14:6:35:995;14;6;35;995;;;;;146
